Topo = smallworld
Nodes = 30
Flavor = 2
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	2380	1648	0	4028	46%
s2	2126	1472	0	3598	60%
s3	5891	3981	0	9872	78%
s4	6068	3985	0	10053	69%
s5	8050	5570	0	13620	89%
s6	3615	2233	0	5848	56%
s7	3879	2734	0	6613	62%
s8	4353	2740	0	7093	74%
s9	3656	2168	0	5824	51%
s10	3972	2536	0	6508	70%
s11	2042	1450	0	3492	48%
s12	5967	4237	0	10204	78%
s13	3764	2599	0	6363	77%
s14	5039	3423	0	8462	75%
s15	3188	2070	0	5258	61%
s16	2574	1786	0	4360	60%
s17	3704	2570	0	6274	69%
s18	3927	2726	0	6653	71%
s19	3220	2160	0	5380	58%
s20	6064	4124	0	10188	72%
s21	4459	3074	0	7533	59%
s22	4576	2984	0	7560	80%
s23	3376	2355	0	5731	66%
s24	2253	1489	0	3742	53%
s25	3186	2175	0	5361	60%
s26	4728	3262	0	7990	67%
s27	2251	1518	0	3769	57%
s28	3759	2724	0	6483	61%
s29	3899	2699	0	6598	71%
s30	4120	2902	0	7022	73%
--------------------------------------------
total	120086	81394	0	120086	89%	114.5776

