Topo = waxman
Nodes = 30
Flavor = 1
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	84	54	0	138	30%
s2	30	24	0	54	0%
s3	774	534	0	1308	67%
s4	944	704	0	1648	51%
s5	96	60	0	156	25%
s6	24	18	0	42	0%
s7	772	568	0	1340	88%
s8	30	24	0	54	0%
s9	18	12	0	30	66%
s10	36	24	0	60	0%
s11	858	618	0	1476	47%
s12	164	116	0	280	35%
s13	636	468	0	1104	85%
s14	860	620	0	1480	39%
s15	934	618	0	1552	50%
s16	30	24	0	54	0%
s17	3556	2508	0	6064	90%
s18	242	170	0	412	52%
s19	364	268	0	632	75%
s20	936	620	0	1556	47%
s21	636	468	0	1104	78%
s22	3006	2144	0	5150	78%
s23	3132	2216	0	5348	83%
s24	3202	2306	0	5508	79%
s25	162	102	0	264	59%
s26	944	704	0	1648	51%
s27	772	568	0	1340	88%
s28	1692	1172	0	2864	61%
s29	364	268	0	632	75%
s30	2528	1810	0	4338	73%
--------------------------------------------
total	27826	19810	0	27826	90%	15.1088

